Module;Offered;Group;Language;Activity;Day;Start;End;Venue;Campus;Study Prog
EFK310;S2;G01;E;L1;Monday;12:30;13:30;HB 4-5;HATFIELD;
EFK310;S2;G01;E;L2;Wednesday;10:30;11:30;HB 4-5;HATFIELD;
EFK310;S2;G51;E;L1;Monday;09:30;10:30;Lecture Theatre L2;GROENKLOOF;
EFK310;S2;G51;E;L2;Wednesday;12:30;13:30;Lecture Theatre L2;GROENKLOOF;
EFK320;S1;G01;E;L1;Tuesday;10:30;11:30;HB 4-9;HATFIELD;
EFK320;S1;G01;E;L2;Thursday;12:30;13:30;HB 3-14;HATFIELD;
EFK320;S1;G51;E;L1;Tuesday;14:30;15:30;Aldoel Bld 2-42;GROENKLOOF;
EFK320;S1;G51;E;L2;Wednesday;15:30;16:30;Aldoel Bld 2-42;GROENKLOOF;
EHN410;S1;G01;E;L1;Monday;11:30;13:30;Eng II 2-37;HATFIELD;R4   
EHN410;S1;G01;E;L2;Friday;07:30;08:30;Eng III - 2;HATFIELD;
EHN410;S1;G01;E;P1;Thursday;10:30;11:30;Eng II 2-37;HATFIELD;R4   
EHN410;S1;G01;E;P2;Thursday;11:30;13:30;Eng III - Electronic Lab B;HATFIELD;
EHN410;S1;G01;E;P2;Thursday;11:30;13:30;Eng III - Net Lab C;HATFIELD;
EHN410;S1;G01;E;P2;Thursday;11:30;13:30;Geography 1-11;HATFIELD;
EHN410;S1;G01;E;T1;Friday;10:30;11:30;Eng II 4-38;HATFIELD;R4   
EIL420;S2;G01;E;L1;Monday;12:30;14:30;IT 4-2;HATFIELD;
EIR211;S1;G01;E;L1;Monday;13:30;14:30;Centenary 2;HATFIELD;e3r3z3
EIR211;S1;G01;E;L2;Tuesday;13:30;14:30;Centenary 4;HATFIELD;E2R2Z2   
EIR211;S1;G01;E;L3;Thursday;11:30;12:30;Centenary 4;HATFIELD;
EIR211;S1;G01;E;T1;Thursday;12:30;13:30;Centenary 4;HATFIELD;e3r3z3
EIR211;S1;P01;E;P1;Tuesday;14:30;17:30;Eng II 4-39 CAEC Lab;HATFIELD;e3
EIR211;S1;P02;E;P1;Thursday;07:30;10:30;Eng II 4-39 CAEC Lab;HATFIELD;r3z3
EIR221;S2;G01;E;L1;Monday;08:30;09:30;Eng III - 6;HATFIELD;c3n3
EIR221;S2;G01;E;L2;Tuesday;07:30;08:30;Eng III - 6;HATFIELD;C2M3N2   
EIR221;S2;G01;E;L3;Friday;09:30;10:30;Eng III - 6;HATFIELD;
EIR221;S2;G01;E;P1;Tuesday;10:30;13:30;Eng II 4-39 CAEC Lab;HATFIELD;c3n3
EIR221;S2;G01;E;T1;Monday;15:30;16:30;Eng II 2-36;HATFIELD;c3n3
EIR221;S2;G01;E;T1;Monday;15:30;16:30;Eng III - 1;HATFIELD;C2M3N2   
EIR221;S2;G02;E;P1;Thursday;07:30;10:30;Eng II 4-39 CAEC Lab;HATFIELD;M3   
EJJ210;S1;G01;E;L1;Monday;14:30;16:30;Centenary 3;HATFIELD;e3r3z3
EJJ210;S1;G01;E;T1;Wednesday;07:30;09:30;Eng III - Net Lab A;HATFIELD;e3r3z3
EJJ210;S1;G01;E;T1;Wednesday;07:30;09:30;Eng III - Net Lab B;HATFIELD;E2R2Z2   
EJJ210;S1;G01;E;T1;Wednesday;07:30;09:30;Eng III - Net Lab C;HATFIELD;
EJJ210;S1;G01;E;T1;Wednesday;07:30;09:30;Eng NS2 Comp Lab 1;HATFIELD;
EJJ210;S1;G01;E;T1;Wednesday;07:30;09:30;Eng NS2 Comp Lab 2;HATFIELD;
EJJ210;S1;G01;E;T1;Wednesday;07:30;09:30;Eng NS2 Comp Lab 3;HATFIELD;
EJJ210;S1;G01;E;T1;Wednesday;07:30;09:30;Eng NS2 Comp Lab 4;HATFIELD;
EKK320;S2;G01;E;L1;Tuesday;10:30;12:30;Eng II 4-38;HATFIELD;E3   
EKK320;S2;G01;E;L2;Thursday;09:30;10:30;Eng II 4-38;HATFIELD;
EKK320;S2;G01;E;P1;Wednesday;13:30;16:30;Eng I M-Lab 2-24;HATFIELD;E3   
EKK320;S2;G01;E;T1;Thursday;10:30;11:30;Eng II 4-38;HATFIELD;E3   
EKK410;S1;G01;E;L1;Monday;08:30;09:30;Eng II 2-37;HATFIELD;E4   
EKK410;S1;G01;E;L2;Friday;07:30;09:30;Eng II 4-30;HATFIELD;
EKK410;S1;G01;E;P1;Tuesday;10:30;13:30;Eng I M-Lab 2-24;HATFIELD;E4   
EKK410;S1;G01;E;T1;Monday;09:30;10:30;Eng II 3-40;HATFIELD;E4   
EKN110;S1;G01;E;L1;Tuesday;16:30;17:30;IT 2-23;HATFIELD;
EKN110;S1;G01;E;L2;Wednesday;10:30;11:30;IT 2-23;HATFIELD;
EKN110;S1;G01;E;T1;Thursday;15:30;16:30;IT 2-23;HATFIELD;
EKN110;S1;G02;E;L1;Monday;15:30;16:30;Thuto 1-2;HATFIELD;
EKN110;S1;G02;E;L2;Wednesday;11:30;12:30;Thuto 1-2;HATFIELD;
EKN110;S1;G02;E;T1;Thursday;10:30;11:30;Thuto 1-2;HATFIELD;
EKN110;S1;G03;E;L1;Tuesday;16:30;17:30;Roos hall;HATFIELD;
EKN110;S1;G03;E;L2;Wednesday;10:30;11:30;Roos hall;HATFIELD;
EKN110;S1;G03;E;T1;Thursday;15:30;16:30;Roos hall;HATFIELD;
EKN110;S1;G04;E;L1;Tuesday;16:30;17:30;Thuto 3-1;HATFIELD;
EKN110;S1;G04;E;L2;Wednesday;10:30;11:30;Thuto 3-1;HATFIELD;
EKN110;S1;G04;E;T1;Thursday;15:30;16:30;Thuto 3-1;HATFIELD;
EKN110;S1;G05;E;L1;Monday;15:30;16:30;Thuto 3-1;HATFIELD;
EKN110;S1;G05;E;L2;Wednesday;11:30;12:30;Roos hall;HATFIELD;
EKN110;S1;G05;E;T1;Thursday;10:30;11:30;Thuto 3-2;HATFIELD;
EKN110;S1;G06;E;L1;Monday;15:30;16:30;Louw hall;HATFIELD;
EKN110;S1;G06;E;L2;Wednesday;11:30;12:30;Thuto 3-2;HATFIELD;
EKN110;S1;G06;E;T1;Thursday;10:30;11:30;Louw hall;HATFIELD;
EKN110;S1;G07;E;L1;Tuesday;08:30;09:30;Thuto 3-2;HATFIELD;
EKN110;S1;G07;E;L2;Wednesday;07:30;08:30;Thuto 3-2;HATFIELD;
EKN110;S1;G07;E;T1;Thursday;16:30;17:30;Thuto 3-1;HATFIELD;
EKN120;S2;G01;E;L1;Tuesday;16:30;17:30;Centenary 2;HATFIELD;
EKN120;S2;G01;E;L2;Wednesday;10:30;11:30;Centenary 2;HATFIELD;
EKN120;S2;G01;E;T1;Thursday;15:30;16:30;Centenary 2;HATFIELD;
EKN120;S2;G02;E;L1;Monday;15:30;16:30;Centenary 5;HATFIELD;
EKN120;S2;G02;E;L2;Wednesday;11:30;12:30;Centenary 6;HATFIELD;
EKN120;S2;G02;E;T1;Thursday;10:30;11:30;HB 4-2;HATFIELD;
EKN120;S2;G03;E;L1;Tuesday;16:30;17:30;Roos hall;HATFIELD;
EKN120;S2;G03;E;L2;Wednesday;10:30;11:30;Roos hall;HATFIELD;
EKN120;S2;G03;E;T1;Thursday;15:30;16:30;Roos hall;HATFIELD;
EKN120;S2;G04;E;L1;Tuesday;16:30;17:30;Centenary 3;HATFIELD;
EKN120;S2;G04;E;L2;Wednesday;10:30;11:30;Centenary 3;HATFIELD;
EKN120;S2;G04;E;T1;Thursday;15:30;16:30;Centenary 1;HATFIELD;
EKN120;S2;G05;E;L1;Monday;15:30;16:30;Louw hall;HATFIELD;
EKN120;S2;G05;E;L2;Wednesday;11:30;12:30;AE du Toit Auditorium;HATFIELD;
EKN120;S2;G05;E;T1;Thursday;10:30;11:30;Louw hall;HATFIELD;
EKN120;S2;G06;E;L1;Monday;15:30;16:30;Thuto 3-2;HATFIELD;
EKN120;S2;G06;E;L2;Wednesday;11:30;12:30;Thuto 3-2;HATFIELD;
EKN120;S2;G06;E;T1;Thursday;10:30;11:30;Thuto 3-2;HATFIELD;
EKN120;S2;G07;E;L1;Tuesday;16:30;17:30;Thuto 3-1;HATFIELD;
EKN120;S2;G07;E;L2;Wednesday;10:30;11:30;Thuto 1-1;HATFIELD;
EKN120;S2;G07;E;T1;Thursday;15:30;16:30;Thuto 1-1;HATFIELD;
EKN120;S2;G08;E;L1;Monday;15:30;16:30;vd Bijl hall;HATFIELD;
EKN120;S2;G08;E;L2;Wednesday;11:30;12:30;Centenary 3;HATFIELD;
EKN120;S2;G08;E;T1;Thursday;10:30;11:30;vd Bijl hall;HATFIELD;
EKN214;S1;G01;E;L1;Monday;14:30;16:30;Large Chemistry hall;HATFIELD;
EKN214;S1;G01;E;L2;Thursday;11:30;12:30;Thuto 1-2;HATFIELD;
EKN224;S1;G01;E;L1;Monday;09:30;10:30;EMS 4-152;HATFIELD;
EKN224;S1;G01;E;L2;Tuesday;12:30;13:30;EMS 4-152;HATFIELD;
EKN224;S1;G01;E;L3;Friday;12:30;13:30;EMS 4-152;HATFIELD;
EKN234;S2;G01;E;L1;Monday;11:30;12:30;vd Bijl hall;HATFIELD;
EKN234;S2;G01;E;L2;Thursday;14:30;16:30;vd Bijl hall;HATFIELD;
EKN244;S2;G01;E;L1;Monday;09:30;10:30;EMS 4-151;HATFIELD;
EKN244;S2;G01;E;L2;Tuesday;10:30;11:30;EMS 4-150;HATFIELD;
EKN244;S2;G01;E;L3;Thursday;09:30;10:30;EMS 4-150;HATFIELD;
EKN310;S1;G01;E;L1;Tuesday;14:30;15:30;EMS 4-152;HATFIELD;
EKN310;S1;G01;E;L2;Wednesday;09:30;10:30;EMS 4-152;HATFIELD;
EKN310;S1;G01;E;L3;Friday;13:30;14:30;EMS 4-152;HATFIELD;
EKN315;S1;G01;E;L1;Monday;08:30;09:30;IT 2-25;HATFIELD;
EKN315;S1;G01;E;L2;Tuesday;11:30;12:30;IT 4-3;HATFIELD;
EKN315;S1;G01;E;L3;Friday;14:30;15:30;IT 2-25;HATFIELD;
EKN320;S2;G01;E;L1;Tuesday;13:30;14:30;Centenary 4;HATFIELD;
EKN320;S2;G01;E;L2;Wednesday;12:30;13:30;Centenary 3;HATFIELD;
EKN320;S2;G01;E;L3;Friday;11:30;12:30;Centenary 5;HATFIELD;
EKN325;S2;G01;E;D1;Tuesday;14:30;15:30;IT 2-25;HATFIELD;
EKN325;S2;G01;E;L1;Monday;12:30;13:30;IT 4-3;HATFIELD;
EKN325;S2;G01;E;L2;Thursday;13:30;14:30;IT 2-25;HATFIELD;
EKT723;S1;G01;E;L1;Monday;17:00;19:30;INF Red Lab;HATFIELD;
ELH111;S1;G01;E;L1;Tuesday;08:30;09:30;HB 4-1;HATFIELD;
ELH111;S1;G01;E;L2;Friday;11:30;12:30;HB 4-3;HATFIELD;
ELH111;S1;G02;E;L1;Wednesday;07:30;08:30;IT 4-4;HATFIELD;
ELH111;S1;G02;E;L2;Friday;10:30;11:30;HB 4-3;HATFIELD;
ELH131;S1;G01;E;L1;Wednesday;13:30;15:30;HB 4-15;HATFIELD;
ELH131;S1;G01;E;T1;Thursday;11:30;12:30;HB 4-15;HATFIELD;
ELH132;S2;G01;E;L1;Wednesday;13:30;15:30;HB 4-15;HATFIELD;
ELH132;S2;G01;E;T1;Thursday;12:30;13:30;HB 4-15;HATFIELD;
ELI220;S2;G01;E;L1;Monday;09:30;10:30;Eng III - 1;HATFIELD;e3r3z3
ELI220;S2;G01;E;L2;Tuesday;12:30;13:30;AE Annex;HATFIELD;E2R2Z2   
ELI220;S2;G01;E;L3;Thursday;09:30;10:30;AE Annex;HATFIELD;
ELI220;S2;G01;E;P1;Monday;12:30;15:30;Eng III - Electronic Lab A;HATFIELD;e3r3z3
ELI220;S2;G01;E;P1;Monday;12:30;15:30;Eng III - Electronic Lab B;HATFIELD;E2R2Z2   
ELI220;S2;G01;E;P1;Monday;12:30;15:30;Eng III - Electronic Lab C;HATFIELD;
ELI220;S2;G01;E;T1;Friday;10:30;11:30;Eng III - 1;HATFIELD;e3r3z3
ELO320;S2;G01;E;L1;Tuesday;07:30;09:30;vd Bijl hall;HATFIELD;Z3   
ELO320;S2;G01;E;P1;Tuesday;13:30;16:30;Eng III - Electronic Lab A;HATFIELD;Z3   
ELO320;S2;G01;E;T1;Wednesday;09:30;10:30;vd Bijl hall;HATFIELD;Z3   
ELX311;S1;G01;E;L1;Wednesday;07:30;09:30;Eng III - 4;HATFIELD;E3   
ELX311;S1;G01;E;L2;Friday;10:30;11:30;Eng III - 2;HATFIELD;
ELX311;S1;G01;E;P1;Wednesday;14:30;17:30;Eng I M-Lab 2-24;HATFIELD;E3   
ELX311;S1;G01;E;T1;Friday;11:30;12:30;Eng III - 2;HATFIELD;E3   
EME310;S1;G01;E;L1;Monday;10:30;11:30;Eng I 1-4;HATFIELD;R3   
EME310;S1;G01;E;L2;Tuesday;13:30;14:30;Eng I 1-4;HATFIELD;
EME310;S1;G01;E;L3;Friday;10:30;11:30;Te Water hall;HATFIELD;
EME310;S1;G01;E;P1;Wednesday;07:30;10:30;Eng II 4-39 CAEC Lab;HATFIELD;R3   
EME310;S1;G01;E;T1;Friday;11:30;12:30;Te Water hall;HATFIELD;R3   
EMK310;S1;G01;E;L1;Tuesday;07:30;09:30;Eng III - 1;HATFIELD;E3R3Z3   
EMK310;S1;G01;E;L2;Tuesday;09:30;10:30;Eng II 4-39 CAEC Lab;HATFIELD;
EMK310;S1;G01;E;L2;Tuesday;09:30;10:30;Eng III - Net Lab A;HATFIELD;
EMK310;S1;G01;E;L2;Tuesday;09:30;10:30;Eng III - Net Lab B;HATFIELD;
EMK310;S1;G01;E;L2;Tuesday;09:30;10:30;Eng III - Net Lab C;HATFIELD;
EMK310;S1;G01;E;P1;Monday;14:30;17:30;Eng III - Electronic Lab A;HATFIELD;E3R3Z3   
EMK310;S1;G01;E;P1;Monday;14:30;17:30;Eng III - Electronic Lab B;HATFIELD;
EMK310;S1;G01;E;P1;Monday;14:30;17:30;Eng III - Electronic Lab C;HATFIELD;
EMK310;S1;G01;E;T1;Monday;08:30;09:30;Eng II 4-39 CAEC Lab;HATFIELD;E3R3Z3   
EMK310;S1;G01;E;T1;Monday;08:30;09:30;Eng III - 7;HATFIELD;
EMK310;S1;G01;E;T1;Monday;08:30;09:30;Eng III - Net Lab A;HATFIELD;
EMK310;S1;G01;E;T1;Monday;08:30;09:30;Eng III - Net Lab B;HATFIELD;
EMK310;S1;G01;E;T1;Monday;08:30;09:30;Eng III - Net Lab C;HATFIELD;
EMS310;S1;G01;E;L1;Wednesday;07:30;09:30;Eng I 1-1;HATFIELD;Z3   
EMS310;S1;G01;E;L2;Friday;10:30;11:30;Eng I 1-3;HATFIELD;
EMS310;S1;G01;E;P1;Wednesday;14:30;17:30;Eng I 1-1;HATFIELD;Z3   
EMS310;S1;G01;E;P1;Wednesday;14:30;17:30;Eng III - Electronic Lab B;HATFIELD;
EMS310;S1;G01;E;T1;Friday;11:30;12:30;Eng I 1-3;HATFIELD;Z3   
EMZ310;S1;G01;E;L1;Monday;10:30;11:30;Eng II 2-37;HATFIELD;E3Z3   
EMZ310;S1;G01;E;L2;Tuesday;11:30;12:30;Eng III - 1;HATFIELD;
EMZ310;S1;G01;E;L3;Wednesday;09:30;10:30;Eng II 2-37;HATFIELD;
EMZ310;S1;G01;E;P1;Thursday;08:30;11:30;Eng III - Electronic Lab B;HATFIELD;E3Z3   
EMZ310;S1;G01;E;T1;Friday;08:30;09:30;Eng I 1-1;HATFIELD;E3Z3   
EMZ320;S2;G01;E;L1;Monday;11:30;12:30;Eng II 2-37;HATFIELD;Z3   
EMZ320;S2;G01;E;L2;Wednesday;07:30;08:30;Eng III - 4;HATFIELD;
EMZ320;S2;G01;E;L3;Thursday;09:30;10:30;Eng III - 4;HATFIELD;
EMZ320;S2;G01;E;P1;Wednesday;10:30;13:30;Eng III - Net Lab A;HATFIELD;Z3   
EMZ320;S2;G01;E;P1;Wednesday;10:30;13:30;Eng III - Net Lab B;HATFIELD;
EMZ320;S2;G01;E;P1;Wednesday;10:30;13:30;Eng III - Net Lab C;HATFIELD;
EMZ320;S2;G01;E;T1;Wednesday;08:30;09:30;Eng III - 4;HATFIELD;Z3   
ENE310;S1;G01;E;L1;Monday;09:30;10:30;vd Bijl hall;HATFIELD;E3R3Z3   
ENE310;S1;G01;E;L2;Tuesday;12:30;13:30;AE Annex;HATFIELD;
ENE310;S1;G01;E;L3;Wednesday;11:30;12:30;Eng III - 1;HATFIELD;
ENE310;S1;G01;E;P1;Tuesday;14:30;17:30;Eng III - Electronic Lab A;HATFIELD;E3R3Z3   
ENE310;S1;G01;E;P1;Tuesday;14:30;17:30;Eng III - Electronic Lab B;HATFIELD;
ENE310;S1;G01;E;P1;Tuesday;14:30;17:30;Eng III - Electronic Lab C;HATFIELD;
ENE310;S1;G01;E;P1;Tuesday;14:30;17:30;North hall;HATFIELD;
ENE310;S1;G01;E;T1;Friday;12:30;13:30;Te Water hall;HATFIELD;E3R3Z3   
ENE410;S1;G01;E;L1;Monday;11:30;13:30;Eng I 1-4;HATFIELD;Z4   
ENE410;S1;G01;E;L2;Tuesday;09:30;10:30;Eng I 1-4;HATFIELD;
ENE410;S1;G01;E;P1;Thursday;10:30;13:30;Eng III - Electronic Lab A;HATFIELD;Z4   
ENE410;S1;G01;E;P1;Thursday;10:30;13:30;Eng III - Electronic Lab C;HATFIELD;
ENE410;S1;G01;E;T1;Friday;10:30;11:30;Eng I 1-4;HATFIELD;Z4   
ENG110;S1;G01;E;L1;Monday;15:30;16:30;Thuto 1-1;HATFIELD;
ENG110;S1;G01;E;L2;Wednesday;11:30;12:30;Thuto 1-1;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;Agric Annex 2-7;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;Agric Annex 2-9;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;Centenary 3;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 1-5;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 3-23;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 4-1;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 4-12;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 4-13;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 4-14;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 4-15;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 4-6;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 4-7;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;HB 4-9;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;IT 4-2;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;Law building 1-31;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;Theology 1-25;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;Theology 1-28;HATFIELD;
ENG110;S1;G01;E;L3;Thursday;10:30;11:30;Theology 1-9;HATFIELD;
ENG110;S1;G02;E;L1;Tuesday;07:30;08:30;Thuto 1-1;HATFIELD;
ENG110;S1;G02;E;L2;Wednesday;13:30;14:30;Thuto 1-1;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;HB 1-4;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;HB 4-12;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;HB 4-16;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;HB 4-2;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;HB 4-5;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;HB 4-6;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;HB 4-7;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;IT 2-24;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;IT 2-25;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;IT 2-26;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;IT 4-2;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;IT 4-3;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;IT 4-5;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;Theology 1-19;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;Theology 1-25;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;Theology 1-28;HATFIELD;
ENG110;S1;G02;E;L3;Friday;07:30;08:30;Theology 1-9;HATFIELD;
ENG110;S1;G51;E;L1;Tuesday;09:30;10:30;Aldoel 2;GROENKLOOF;
ENG110;S1;G51;E;L2;Thursday;14:30;15:30;Aldoel 2;GROENKLOOF;
ENG110;S1;G51;E;L3;Friday;11:30;12:30;Aldoel 3;GROENKLOOF;
ENG110;S1;G51;E;L3;Friday;11:30;12:30;Aldoel Bld 1-133;GROENKLOOF;
ENG110;S1;G51;E;L3;Friday;11:30;12:30;Aldoel Bld 2-42;GROENKLOOF;
